mp_id,post_id,unit_id,parent_id,unit_type,unit_code,post_title
18068,3,7,,mpg,BLR,Член групи з міжпарламентських зв'язків з Республікою Білорусь
18068,3,14,,mpg,USA,Член групи з міжпарламентських зв'язків з Сполученими Штатами Америки
15787,2,20,,fra,nf,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ"""
15787,12,13,,cmt,komtrans,Перший заступник голови Комітету Верховної Ради України з питань транспорту
15787,3,8,,mpg,LTU,Член групи з міжпарламентських зв'язків з Литовською Республікою
15787,3,21,,mpg,JPN,Член групи з міжпарламентських зв'язків з Японією
15787,3,46,,mpg,LBN,Член групи з міжпарламентських зв'язків з Республікою Ліван
15787,3,4,,mpg,ISR,Член групи з міжпарламентських зв'язків з Державою Ізраїль
15787,3,10,,mpg,CHN,Член групи з міжпарламентських зв'язків з Китайською Народною Республікою
15787,3,11,,mpg,POL,Член групи з міжпарламентських зв'язків з Республікою Польща
15787,3,155,,mpg,VNM,Член групи з міжпарламентських зв'язків з Соціалістичною Республікою В'єтнам
19857,2,3,,fra,bp,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
19857,1,159,114,sct,komsport11,"Голова підкомітету з питань оздоровлення та відпочинку дітей Комітету Верховної Ради України з питань сім'ї, молодіжної політики, спорту та туризму"
19857,3,77,,mpg,ITA,Член групи з міжпарламентських зв'язків з Італійською Республікою
19857,3,22,,mpg,TJK,Член групи з міжпарламентських зв'язків з Республікою Таджикистан
17961,12,114,,cmt,komsport,"Перший заступник голови Комітету Верховної Ради України з питань сім'ї, молодіжної політики, спорту та туризму"
17961,2,20,,fra,nf,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ"""
17961,3,89,,mpg,AFG,Член групи з міжпарламентських зв'язків з Ісламською Республікою Афганістан
17961,22,147,,mpa,uMPA_LV_PL,"Член Української частини міжпарламентської асамблеї Верховної Ради України, Сейму Литовської Республіки та Сейму і Сенату Республіки Польща"
17961,3,98,,mpg,HRV,Член групи з міжпарламентських зв'язків з Республікою Хорватія
17961,3,81,,mpg,AUS,Член групи з міжпарламентських зв'язків з Австралією
17961,3,140,,mpg,KWT,Член групи з міжпарламентських зв'язків з Державою Кувейт
17961,3,107,,mpg,KOR,Член групи з міжпарламентських зв'язків з Республікою Корея
17961,3,120,,mpg,MEX,Член групи з міжпарламентських зв'язків з Мексиканськими Сполученими Штатами
17961,3,21,,mpg,JPN,Член групи з міжпарламентських зв'язків з Японією
18008,33,160,161,sct,komspip10,"Секретар Комітету, голова підкомітету з питань державних соціальних гарантій, забезпечення достатнього життєвого рівня Комітету Верховної Ради України з питань соціальної політики, зайнятості та пенсійного забезпечення"
18008,3,48,,mpg,DEU,Член групи з міжпарламентських зв'язків з Федеративною Республікою Німеччина
18008,19,80,,mpd,PA_EURONEST,Заступник члена Постійної делегації Верховної Ради України у Парламентській асамблеї ЄС - Східні сусіди (ПА ЄВРОНЕСТ)
18008,3,82,,mpg,CHE,Член групи з міжпарламентських зв'язків з Швейцарською Конфедерацією
18008,3,162,,mpg,JOR,Член групи з міжпарламентських зв'язків з Йорданським Хашимітським Королівством
18008,3,14,,mpg,USA,Член групи з міжпарламентських зв'язків з Сполученими Штатами Америки
18008,3,75,,mpg,QAT,Член групи з міжпарламентських зв'язків з Державою Катар
18008,3,45,,mpg,CAN,Член групи з міжпарламентських зв'язків з Канадою
18008,3,10,,mpg,CHN,Член групи з міжпарламентських зв'язків з Китайською Народною Республікою
17963,7,40,,tcs,tspec13,Член тимчасової спеціальної комісії Верховної Ради України з питань перевірки фактів порушень під час проведення повторного голосування на виборах Криворізького міського голови 15 листопада 2015 року
17963,7,28,,tcs,tinvest38,Член тимчасової слідчої комісії Верховної Ради України для проведення розслідування відомостей щодо нападів на Катерину Гандзюк та інших громадських активістів
17963,2,20,,fra,nf,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ"""
17963,18,74,,cmt,komsvobslova,Заступник голови Комітету Верховної Ради України з питань свободи слова та інформаційної політики
17963,19,79,,mpd,PA_OBCE,Заступник члена Постійної делегації у Парламентській асамблеї Організації з безпеки та співробітництва в Європі
17963,3,15,,mpg,GBR,Член групи з міжпарламентських зв'язків з Сполученим Королівством Великої Британії та Північної Ірландії
17963,3,142,,mpg,PER,Член групи з міжпарламентських зв'язків з Республікою Перу
17963,3,14,,mpg,USA,Член групи з міжпарламентських зв'язків з Сполученими Штатами Америки
17963,3,21,,mpg,JPN,Член групи з міжпарламентських зв'язків з Японією
17963,3,43,,mpg,LVA,Член групи з міжпарламентських зв'язків з Латвійською Республікою
17963,3,4,,mpg,ISR,Член групи з міжпарламентських зв'язків з Державою Ізраїль
17963,3,78,,mpg,CHL,Член групи з міжпарламентських зв'язків з Республікою Чилі
12265,16,118,,cmt,komsamovr,"Голова Комітету Верховної Ради України з питань державного будівництва, регіональної політики та місцевого самоврядування"
12265,2,12,,fra,but,"Член депутатської фракції політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України"
12265,3,18,,mpg,FRA,Член групи з міжпарламентських зв'язків з Французькою Республікою
12265,3,21,,mpg,JPN,Член групи з міжпарламентських зв'язків з Японією
12265,3,15,,mpg,GBR,Член групи з міжпарламентських зв'язків з Сполученим Королівством Великої Британії та Північної Ірландії
12265,19,42,,mpd,PACE,Заступник члена Постійної делегації у Парламентській асамблеї Ради Європи
8132,2,88,,fra,rp,Член депутатської фракції Радикальної партії Олега Ляшка
8132,18,94,,cmt,komzak,Заступник голови Комітету Верховної Ради України у закордонних справах
8132,3,15,,mpg,GBR,Член групи з міжпарламентських зв'язків з Сполученим Королівством Великої Британії та Північної Ірландії
8132,3,14,,mpg,USA,Член групи з міжпарламентських зв'язків з Сполученими Штатами Америки
8132,10,79,,mpd,PA_OBCE,Член Постійної делегації у Парламентській асамблеї Організації з безпеки та співробітництва в Європі
8132,19,42,,mpd,PACE,Заступник члена Постійної делегації у Парламентській асамблеї Ради Європи
8132,3,81,,mpg,AUS,Член групи з міжпарламентських зв'язків з Австралією
8132,3,163,,mpg,NZL,Член групи з міжпарламентських зв'язків з Новою Зеландією
15807,2,20,,fra,nf,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ"""
15807,18,2,,cmt,kompmp,Заступник голови Комітету Верховної Ради України з питань податкової та митної політики
15807,3,8,,mpg,LTU,Член групи з міжпарламентських зв'язків з Литовською Республікою
15807,3,7,,mpg,BLR,Член групи з міжпарламентських зв'язків з Республікою Білорусь
15807,3,119,,mpg,CZE,Член групи з міжпарламентських зв'язків з Чеською Республікою
15807,3,50,,mpg,KAZ,Член групи з міжпарламентських зв'язків з Республікою Казахстан
15807,3,44,,mpg,TUR,Член групи з міжпарламентських зв'язків з Турецькою Республікою
15807,3,10,,mpg,CHN,Член групи з міжпарламентських зв'язків з Китайською Народною Республікою
15807,3,71,,mpg,HUN,Член групи з міжпарламентських зв'язків з Угорщиною
15807,5,105,,mpg,MNE,Заступник керівника групи з міжпарламентських зв'язків з Чорногорією
